261,39
258,38
247,29
247,29
229,24
217,64
214,67
217,64
213,68
212,67
212,108
233,115
222,115
222,115
221,115
232,114
221,115
231,112
230,112
229,112
229,112
212,115
212,115
212,115
211,115
211,115
224,115
224,115
219,115
223,115
224,115
223,115
223,114
221,114
207,115
207,115
211,112
212,112
212,112
208,115
208,115
213,115
213,115
212,112
208,115
213,115
213,115
214,115
212,112
211,113
212,115
212,115
216,115
215,114
214,113
218,114
218,113
211,115
209,113
210,115
211,115
211,115
210,112
206,115
211,115
211,115
211,115
210,112
205,115
211,115
210,115
211,116
208,116
214,115
215,114
215,114
215,114
201,113
204,113
207,112
212,111
214,110
215,111
221,108
229,111
226,112
221,117
226,114
228,114
229,116
224,120
217,112
226,112
235,115
234,114
231,119
230,118
233,114
233,114
230,122
228,122
232,117
232,117
232,117
227,121
226,121
230,115
231,114
233,112
229,114
230,113
237,107
239,107
241,106
235,107
237,106
245,104
246,103
241,104
242,104
244,104
249,102
249,102
246,104
246,104
248,104
221,118
221,117
217,117
216,115
220,106
225,113
225,113
220,117
220,117
225,112
225,111
225,111
219,115
219,114
224,109
224,109
218,113
218,113
218,113
224,109
224,109
221,117
221,117
200,115
223,106
223,107
209,116
213,106
218,95
235,115
249,115
267,115
215,115
218,115
219,115
218,115
216,113
216,113
217,112
219,113
222,114
220,114
217,115
224,115
224,114
222,114
220,114
223,112
224,111
222,115
221,114
216,115
218,114
218,115
218,115
220,114
220,115
216,113
218,115
218,115
217,113
214,105
214,103
214,101
212,102
211,101
212,90
210,89
208,97
206,96
204,94
204,87
203,87
200,95
198,95
197,96
199,86
199,86
196,98
195,98
196,92
196,85
